Date,Volume
2016-01-04,67649400
2016-01-05,55791000
2016-01-06,68457400
2016-01-07,81094400
2016-01-08,70798000
2016-01-11,49739400
2016-01-12,49154200
2016-01-13,62439600
2016-01-14,63170100
2016-01-15,79010000
2016-01-19,53087700
2016-01-20,72334400
2016-01-21,52161500
2016-01-22,65800500
2016-01-25,51794500
2016-01-26,75077000
2016-01-27,133369700
2016-01-28,55678800
2016-01-29,64416500
2016-02-01,40943500
2016-02-02,37357200
2016-02-03,45964300
2016-02-04,46471700
2016-02-05,46418100
2016-02-08,54021400
2016-02-09,44331200
2016-02-10,42343600
2016-02-11,50074700
2016-02-12,40351400
2016-02-16,49057900
2016-02-17,44863200
2016-02-18,39021000
2016-02-19,35374200
2016-02-22,34280800
2016-02-23,31942600
2016-02-24,36255700
2016-02-25,27582700
2016-02-26,28991100
2016-02-29,35216300
2016-03-01,50407100
2016-03-02,33169600
2016-03-03,36955700
2016-03-04,46055100
2016-03-07,35828900
2016-03-08,31561900
2016-03-09,27201700
2016-03-10,33513600
2016-03-11,27408200
2016-03-14,25076100
2016-03-15,40067700
2016-03-16,38303500
2016-03-17,34420700
2016-03-18,44205200
2016-03-21,35502700
2016-03-22,32444400
2016-03-23,25703500
2016-03-24,26133000
2016-03-28,19411400
2016-03-29,31190100
2016-03-30,45601100
2016-03-31,25888400
2016-04-01,25874000
2016-04-04,37356200
2016-04-05,26578700
2016-04-06,26404100
2016-04-07,31801900
2016-04-08,23581700
2016-04-11,29407500
2016-04-12,27232300
2016-04-13,33257300
2016-04-14,25473900
2016-04-15,46939000
2016-04-18,60834000
2016-04-19,32384900
2016-04-20,30611000
2016-04-21,31552500
2016-04-22,33683100
2016-04-25,28031600
2016-04-26,56016200
2016-04-27,114602100
2016-04-28,82242700
2016-04-29,68531500
2016-05-02,48160100
2016-05-03,56831300
2016-05-04,41025500
2016-05-05,35890500
2016-05-06,43458200
2016-05-09,32936400
2016-05-10,33686800
2016-05-11,28719100
2016-05-12,76314700
2016-05-13,44392800
2016-05-16,61259800
2016-05-17,46916900
2016-05-18,42062400
2016-05-19,30442100
2016-05-20,32026000
2016-05-23,38018600
2016-05-24,35140200
2016-05-25,38168800
2016-05-26,56331200
2016-05-27,36229500
2016-05-31,42307200
2016-06-01,29173300
2016-06-02,40191600
2016-06-03,28062900
2016-06-06,23292500
2016-06-07,22409500
2016-06-08,20848100
2016-06-09,26601400
2016-06-10,31712900
2016-06-13,38020500
2016-06-14,31931900
2016-06-15,29445200
2016-06-16,31326800
2016-06-17,61008200
2016-06-20,34411900
2016-06-21,35546400
2016-06-22,29219100
2016-06-23,32240200
2016-06-24,75311400
2016-06-27,45489600
2016-06-28,40444900
2016-06-29,36531000
2016-06-30,35836400
2016-07-01,26026500
2016-07-05,27705200
2016-07-06,30949100
2016-07-07,25139600
2016-07-08,28912100
2016-07-11,23794900
2016-07-12,24167500
2016-07-13,25892200
2016-07-14,38919000
2016-07-15,30137000
2016-07-18,36493900
2016-07-19,23779900
2016-07-20,26276000
2016-07-21,32702000
2016-07-22,28313700
2016-07-25,40382900
2016-07-26,56239800
2016-07-27,92344800
2016-07-28,39869800
2016-07-29,27733700
2016-08-01,38167900
2016-08-02,33816600
2016-08-03,30202600
2016-08-04,27408700
2016-08-05,40553400
2016-08-08,28037200
2016-08-09,26315200
2016-08-10,24008500
2016-08-11,27484500
2016-08-12,18660400
2016-08-15,25868200
2016-08-16,33794400
2016-08-17,25356000
2016-08-18,21984700
2016-08-19,25368100
2016-08-22,25820200
2016-08-23,21257700
2016-08-24,23675100
2016-08-25,25086200
2016-08-26,27766300
2016-08-29,24970300
2016-08-30,24863900
2016-08-31,29662400
2016-09-01,26701500
2016-09-02,26802500
2016-09-06,26880400
2016-09-07,42364300
2016-09-08,53002000
2016-09-09,46557000
2016-09-12,45292800
2016-09-13,62176200
2016-09-14,110888700
2016-09-15,89983600
2016-09-16,79886900
2016-09-19,47023000
2016-09-20,34514300
2016-09-21,36003200
2016-09-22,31074000
2016-09-23,52481200
2016-09-26,29869400
2016-09-27,24607400
2016-09-28,29641100
2016-09-29,35887000
2016-09-30,36379100
2016-10-03,21701800
2016-10-04,29736800
2016-10-05,21453100
2016-10-06,28779300
2016-10-07,24358400
2016-10-10,36236000
2016-10-11,64041000
2016-10-12,37586800
2016-10-13,35192400
2016-10-14,35652200
2016-10-17,23624900
2016-10-18,24553500
2016-10-19,20034600
2016-10-20,24125800
2016-10-21,23192700
2016-10-24,23538700
2016-10-25,48129000
2016-10-26,66134200
2016-10-27,34562000
2016-10-28,37861700
2016-10-31,26419400
2016-11-01,43825800
2016-11-02,28331700
2016-11-03,26932600
2016-11-04,30837000
2016-11-07,32560000
2016-11-08,24054500
2016-11-09,59176400
2016-11-10,57134500
2016-11-11,34094100
2016-11-14,51175500
2016-11-15,32264500
2016-11-16,58840500
2016-11-17,27632000
2016-11-18,28428900
2016-11-21,29264600
2016-11-22,25965500
2016-11-23,27426400
2016-11-25,11475900
2016-11-28,27194000
2016-11-29,28528800
2016-11-30,36162300
2016-12-01,37086900
2016-12-02,26528000
2016-12-05,34324500
2016-12-06,26195500
2016-12-07,29998700
2016-12-08,27068300
2016-12-09,34402600
2016-12-12,26374400
2016-12-13,43733800
2016-12-14,34031800
2016-12-15,46524500
2016-12-16,44351100
2016-12-19,27779400
2016-12-20,21425000
2016-12-21,23783200
2016-12-22,26085900
2016-12-23,14249500
2016-12-27,18296900
2016-12-28,20905900
